Company,Instrument,Credit Rating,1Y Range,% Assets
6.95% Reliance Industries 2020,Debenture,AAA,0.00 - 5.68,5.57
8.25% Tata Sons 2021,Debenture,AAA,5.06 - 5.44,5.06
7.64% Punjab State 2021,State Development Loan,SOV,4.12 - 4.41,4.12
Axis Finance 2021,Debenture,AAA,2.06 - 2.08,2.08
Axis Bank 2019,Certificate of Deposit,A1+,0.00 - 1.61,1.60
HDB Financial Services 2021,Debenture,AAA,1.14 - 1.15,1.15
7.4% National Bank Agr. Rur. Devp 2021,Debenture,AAA,0.61 - 0.65,0.61
7.07% Reliance Industries 2020,Bonds/Debentures,AAA,0.00 - 0.52,0.51
6.98% National Bank Agr. Rur. Devp 2020,Debenture,AAA,0.49 - 0.52,0.49
6.99% REC 2020,Debenture,AAA,0.30 - 0.32,0.30
7.7% REC 2021,Bonds/NCDs,AAA,0.12 - 0.13,0.12
SIDBI 2020,Debenture,A1+,0.00 - 0.08,0.08
71. Aditya Birla Sun Life Fixed Term Plan - Series PK (1132 Days) - Regular Plan
Bajaj Housing Finance 2021,Bonds/NCDs,AAA,11.94 - 12.05,12.05
LIC Housing Fin. 2021,Debenture,AAA,11.93 - 12.04,12.04
7.52% SIDBI 2021,Bonds/NCDs,AAA,10.60 - 11.32,10.60
7.73% HUDCO 2021,Debenture,AAA,10.21 - 10.87,10.21
7.6% REC 2021,Bonds/NCDs,AAA,10.13 - 10.87,10.13
Bajaj Finance 2021,Zero Coupon Bonds,AAA,6.69 - 6.78,6.78
7.75% Power Finance Corp. 2021,Debenture,AAA,6.57 - 7.03,6.57
7.65% IRFC 2021,Debenture,AAA,6.14 - 6.56,6.14
6.95% Reliance Industries 2020,Debenture,AAA,0.00 - 5.68,5.57
8.25% Tata Sons 2021,Debenture,AAA,5.06 - 5.44,5.06
7.64% Punjab State 2021,State Development Loan,SOV,4.12 - 4.41,4.12
Axis Finance 2021,Debenture,AAA,2.06 - 2.08,2.08
Axis Bank 2019,Certificate of Deposit,A1+,0.00 - 1.61,1.60
HDB Financial Services 2021,Debenture,AAA,1.14 - 1.15,1.15
7.4% National Bank Agr. Rur. Devp 2021,Debenture,AAA,0.61 - 0.65,0.61
7.07% Reliance Industries 2020,Bonds/Debentures,AAA,0.00 - 0.52,0.51
6.98% National Bank Agr. Rur. Devp 2020,Debenture,AAA,0.49 - 0.52,0.49
6.99% REC 2020,Debenture,AAA,0.30 - 0.32,0.30
7.7% REC 2021,Bonds/NCDs,AAA,0.12 - 0.13,0.12
SIDBI 2020,Debenture,A1+,0.00 - 0.08,0.08
72. Aditya Birla Sun Life Fixed Term Plan - Series PM (1141 Days) - Direct Plan
9% M&M Financial Services 2021,Debenture,AAA,10.15 - 10.56,10.15
JM Financial Products 2021,Debenture,AA,9.69 - 9.93,9.80
9.05% Essel Lucknow Raebareli Toll Roads 2021,Debenture,AAA,8.94 - 9.60,8.94
8.5% Vedanta 2021,Debenture,AA,8.85 - 9.35,8.85
10.15% Uttar Pradesh Power Corporation 2021,Debenture,A+,8.72 - 9.42,8.72
8.0253% Indiabulls Housing Finance 2021,Debenture,AA+,0.00 - 8.20,8.20
10.25% Adani Transmission 2021,Debenture,AA+,7.77 - 8.49,7.77
7.7% REC 2021,Bonds/NCDs,AAA,5.08 - 6.27,6.01
8.75% LIC Housing Fin. 2021,Debenture,AAA,0.00 - 4.80,4.69
Sprit Infrapower and Multiventures 2021,Debenture,BBB-,0.00 - 8.22,4.46
8.1437% Sundaram Finance 2021,Debenture,AAA,3.49 - 3.60,3.49
6.95% Reliance Industries 2020,Debenture,AAA,0.00 - 3.06,2.99
9.843% IOT Utkal Energy Services 2021,Debenture,AAA,2.39 - 2.56,2.39
7.07% Reliance Industries 2020,Bonds/Debentures,AAA,0.00 - 2.12,2.07
National Bank Agr. Rur. Devp 310-D 13/03/2020,Commercial Paper,A1+,0.00 - 0.90,0.90
SIDBI 2020,Debenture,A1+,0.00 - 0.88,0.88
8.711% HDB Financial Services 2021,Bonds/Debentures,AAA,0.00 - 0.24,0.23
73. Aditya Birla Sun Life Fixed Term Plan - Series PM (1141 Days) - Regular Plan
9% M&M Financial Services 2021,Debenture,AAA,10.15 - 10.56,10.15
JM Financial Products 2021,Debenture,AA,9.69 - 9.93,9.80
9.05% Essel Lucknow Raebareli Toll Roads 2021,Debenture,AAA,8.94 - 9.60,8.94
8.5% Vedanta 2021,Debenture,AA,8.85 - 9.35,8.85
10.15% Uttar Pradesh Power Corporation 2021,Debenture,A+,8.72 - 9.42,8.72
8.0253% Indiabulls Housing Finance 2021,Debenture,AA+,0.00 - 8.20,8.20
10.25% Adani Transmission 2021,Debenture,AA+,7.77 - 8.49,7.77
7.7% REC 2021,Bonds/NCDs,AAA,5.08 - 6.27,6.01
8.75% LIC Housing Fin. 2021,Debenture,AAA,0.00 - 4.80,4.69
Sprit Infrapower and Multiventures 2021,Debenture,BBB-,0.00 - 8.22,4.46
8.1437% Sundaram Finance 2021,Debenture,AAA,3.49 - 3.60,3.49
6.95% Reliance Industries 2020,Debenture,AAA,0.00 - 3.06,2.99
9.843% IOT Utkal Energy Services 2021,Debenture,AAA,2.39 - 2.56,2.39
7.07% Reliance Industries 2020,Bonds/Debentures,AAA,0.00 - 2.12,2.07
National Bank Agr. Rur. Devp 310-D 13/03/2020,Commercial Paper,A1+,0.00 - 0.90,0.90
SIDBI 2020,Debenture,A1+,0.00 - 0.88,0.88
8.711% HDB Financial Services 2021,Bonds/Debentures,AAA,0.00 - 0.24,0.23
74. Aditya Birla Sun Life Fixed Term Plan - Series PN (1135 Days) - Direct Plan
9% M&M Financial Services 2021,Debenture,AAA,6.92 - 10.41,10.15
JM Financial Products 2021,Debenture,AA,9.64 - 9.89,9.76
10.15% Uttar Pradesh Power Corporation 2021,Debenture,A+,8.86 - 9.57,8.86
9.05% Essel Lucknow Raebareli Toll Roads 2021,Debenture,AAA,8.85 - 9.51,8.85
8.5% Vedanta 2021,Debenture,AA,8.76 - 9.26,8.76
8.0253% Indiabulls Housing Finance 2021,Debenture,AA+,0.00 - 8.45,8.45
10.25% Adani Transmission 2021,Debenture,AA+,7.95 - 8.68,7.95
8.75% LIC Housing Fin. 2021,Debenture,AAA,0.00 - 5.56,5.43
8.1437% Sundaram Finance 2021,Debenture,AAA,4.49 - 4.63,4.49
Sprit Infrapower and Multiventures 2021,Debenture,BBB-,0.00 - 8.13,4.43
9.843% IOT Utkal Energy Services 2021,Debenture,AAA,3.71 - 3.97,3.71
SIDBI 2020,Debenture,A1+,0.00 - 2.55,2.53
8.18% National Bank Agr. Rur. Devp 2020,Bonds/NCDs,AAA,0.00 - 2.03,1.97
9.843% IOT Utkal Energy Services 2021,Debenture,AAA,1.84 - 1.97,1.84
7.7% REC 2021,Bonds/NCDs,AAA,0.00 - 1.49,1.43
ICICI Bank 2020,Certificate of Deposit,A1+,0.00 - 0.17,0.17
75. Aditya Birla Sun Life Fixed Term Plan - Series PN (1135 Days) - Regular Plan
9% M&M Financial Services 2021,Debenture,AAA,6.92 - 10.41,10.15
JM Financial Products 2021,Debenture,AA,9.64 - 9.89,9.76
10.15% Uttar Pradesh Power Corporation 2021,Debenture,A+,8.86 - 9.57,8.86
9.05% Essel Lucknow Raebareli Toll Roads 2021,Debenture,AAA,8.85 - 9.51,8.85
8.5% Vedanta 2021,Debenture,AA,8.76 - 9.26,8.76
8.0253% Indiabulls Housing Finance 2021,Debenture,AA+,0.00 - 8.45,8.45
10.25% Adani Transmission 2021,Debenture,AA+,7.95 - 8.68,7.95
8.75% LIC Housing Fin. 2021,Debenture,AAA,0.00 - 5.56,5.43
8.1437% Sundaram Finance 2021,Debenture,AAA,4.49 - 4.63,4.49
Sprit Infrapower and Multiventures 2021,Debenture,BBB-,0.00 - 8.13,4.43
9.843% IOT Utkal Energy Services 2021,Debenture,AAA,3.71 - 3.97,3.71
SIDBI 2020,Debenture,A1+,0.00 - 2.55,2.53
8.18% National Bank Agr. Rur. Devp 2020,Bonds/NCDs,AAA,0.00 - 2.03,1.97
9.843% IOT Utkal Energy Services 2021,Debenture,AAA,1.84 - 1.97,1.84
7.7% REC 2021,Bonds/NCDs,AAA,0.00 - 1.49,1.43
ICICI Bank 2020,Certificate of Deposit,A1+,0.00 - 0.17,0.17
76. Aditya Birla Sun Life Fixed Term Plan - Series PO (1140 Days) - Direct Plan
7.64% Punjab State 2021,State Development Loan,SOV,26.06 - 27.96,26.06
LIC Housing Fin. 2021,Debenture,AAA,11.50 - 11.59,11.59
Bajaj Finance 2021,Zero Coupon Bonds,AAA,11.35 - 11.50,11.50
Bajaj Housing Finance 2021,Bonds/NCDs,AAA,11.20 - 11.30,11.30
7.65% IRFC 2021,Debenture,AAA,10.25 - 10.96,10.25
7.7% REC 2021,Bonds/NCDs,AAA,9.61 - 10.34,9.61
7.52% SIDBI 2021,Bonds/NCDs,AAA,6.34 - 6.79,6.34
Axis Finance 2021,Debenture,AAA,3.72 - 3.75,3.75
8.13% Power Grid Corporation 2021,Debenture,AAA,2.51 - 2.69,2.51
7.5% Power Finance Corp. 2020,Bonds,AAA,0.00 - 2.28,2.25
6.98% National Bank Agr. Rur. Devp 2020,Debenture,AAA,1.18 - 1.26,1.18
6.99% REC 2020,Debenture,AAA,0.52 - 0.55,0.52
SIDBI 2020,Debenture,A1+,0.00 - 0.16,0.16
ICICI Bank 2020,Certificate of Deposit,A1+,0.00 - 0.05,0.05
77. Aditya Birla Sun Life Fixed Term Plan - Series PO (1140 Days) - Regular Plan
7.64% Punjab State 2021,State Development Loan,SOV,26.06 - 27.96,26.06
LIC Housing Fin. 2021,Debenture,AAA,11.50 - 11.59,11.59
Bajaj Finance 2021,Zero Coupon Bonds,AAA,11.35 - 11.50,11.50
Bajaj Housing Finance 2021,Bonds/NCDs,AAA,11.20 - 11.30,11.30
7.65% IRFC 2021,Debenture,AAA,10.25 - 10.96,10.25
7.7% REC 2021,Bonds/NCDs,AAA,9.61 - 10.34,9.61
7.52% SIDBI 2021,Bonds/NCDs,AAA,6.34 - 6.79,6.34
Axis Finance 2021,Debenture,AAA,3.72 - 3.75,3.75
8.13% Power Grid Corporation 2021,Debenture,AAA,2.51 - 2.69,2.51
7.5% Power Finance Corp. 2020,Bonds,AAA,0.00 - 2.28,2.25
6.98% National Bank Agr. Rur. Devp 2020,Debenture,AAA,1.18 - 1.26,1.18
6.99% REC 2020,Debenture,AAA,0.52 - 0.55,0.52
SIDBI 2020,Debenture,A1+,0.00 - 0.16,0.16
ICICI Bank 2020,Certificate of Deposit,A1+,0.00 - 0.05,0.05
78. Aditya Birla Sun Life Fixed Term Plan - Series PR (1134 Days) - Direct Plan
7.62% Odisha State,State Development Loan,SOV,14.43 - 15.49,14.43
7.65% SIDBI 2021,Debenture,AAA,10.25 - 10.96,10.25
7.75% Power Finance Corp. 2021,Debenture,AAA,10.21 - 10.96,10.21
8.1437% Sundaram Finance 2021,Debenture,AAA,10.03 - 10.63,10.03
7.63% HUDCO 2021,Debenture,AAA,8.33 - 8.90,8.33
Axis Finance 2021,Debenture,AAA,7.76 - 7.83,7.83
7.64% Punjab State 2021,State Development Loan,SOV,7.58 - 8.13,7.58
LIC Housing Fin. 2021,Debenture,AAA,6.97 - 7.03,7.03
Bajaj Finance 2021,Zero Coupon Bonds,AAA,5.70 - 5.77,5.77
Bajaj Housing Finance 2021,Bonds/NCDs,AAA,4.03 - 4.07,4.07
7.7% REC 2021,Bonds/NCDs,AAA,2.96 - 3.19,2.96
ICICI Bank 2020,Certificate of Deposit,A1+,0.00 - 2.30,2.30
7.65% IRFC 2021,Debenture,AAA,1.91 - 2.05,1.91
8.75% LIC Housing Fin. 2021,Debenture,AAA,1.44 - 1.55,1.44
7.5% Power Finance Corp. 2020,Bonds,AAA,0.00 - 0.93,0.92
6.98% National Bank Agr. Rur. Devp 2020,Debenture,AAA,0.76 - 0.81,0.76
6.99% REC 2020,Debenture,AAA,0.12 - 0.13,0.12
SIDBI 2020,Debenture,A1+,0.00 - 0.11,0.11
79. Aditya Birla Sun Life Fixed Term Plan - Series PR (1134 Days) - Regular Plan
7.62% Odisha State,State Development Loan,SOV,14.43 - 15.49,14.43
7.65% SIDBI 2021,Debenture,AAA,10.25 - 10.96,10.25
7.75% Power Finance Corp. 2021,Debenture,AAA,10.21 - 10.96,10.21
8.1437% Sundaram Finance 2021,Debenture,AAA,10.03 - 10.63,10.03
7.63% HUDCO 2021,Debenture,AAA,8.33 - 8.90,8.33
Axis Finance 2021,Debenture,AAA,7.76 - 7.83,7.83
7.64% Punjab State 2021,State Development Loan,SOV,7.58 - 8.13,7.58
LIC Housing Fin. 2021,Debenture,AAA,6.97 - 7.03,7.03
Bajaj Finance 2021,Zero Coupon Bonds,AAA,5.70 - 5.77,5.77
Bajaj Housing Finance 2021,Bonds/NCDs,AAA,4.03 - 4.07,4.07
7.7% REC 2021,Bonds/NCDs,AAA,2.96 - 3.19,2.96
ICICI Bank 2020,Certificate of Deposit,A1+,0.00 - 2.30,2.30
7.65% IRFC 2021,Debenture,AAA,1.91 - 2.05,1.91
8.75% LIC Housing Fin. 2021,Debenture,AAA,1.44 - 1.55,1.44
7.5% Power Finance Corp. 2020,Bonds,AAA,0.00 - 0.93,0.92
6.98% National Bank Agr. Rur. Devp 2020,Debenture,AAA,0.76 - 0.81,0.76
6.99% REC 2020,Debenture,AAA,0.12 - 0.13,0.12
SIDBI 2020,Debenture,A1+,0.00 - 0.11,0.11
80. Aditya Birla Sun Life Fixed Term Plan - Series PT (1100 Days) - Direct Plan
7.62% Maharashtra State 2021,State Development Loan,SOV,24.44 - 26.08,24.44
8.51% Andhra Pradesh State 2021,State Development Loan,SOV,16.46 - 17.70,16.46
6.98% National Bank Agr. Rur. Devp 2020,Debenture,AAA,11.20 - 11.94,11.20
7.7% REC 2021,Bonds/NCDs,AAA,10.65 - 11.39,10.65
7.65% SIDBI 2021,Debenture,AAA,9.42 - 10.01,9.42
6.78% Reliance Industries 2020,Non Convertible Debenture,AAA,5.70 - 6.06,5.70
8.39% Punjab State 2021,State Development Loan,SOV,5.46 - 5.88,5.46
7.73% HUDCO 2021,Debenture,AAA,4.58 - 4.85,4.58
7.62% Odisha State,State Development Loan,SOV,2.72 - 2.90,2.72
SIDBI 2020,Debenture,A1+,0.00 - 2.43,2.43
7.5% Power Finance Corp. 2020,Bonds,AAA,0.00 - 1.57,1.55
ICICI Bank 2020,Certificate of Deposit,A1+,0.00 - 0.79,0.79
8.36% Power Finance Corp. 2020,Bonds,AAA,0.54 - 0.58,0.54
8.2% Power Finance Corp. 2020,Bonds/NCDs,AAA,0.00 - 0.27,0.27
81. Aditya Birla Sun Life Fixed Term Plan - Series PT (1100 Days) - Regular Plan
7.62% Maharashtra State 2021,State Development Loan,SOV,24.44 - 26.08,24.44
8.51% Andhra Pradesh State 2021,State Development Loan,SOV,16.46 - 17.70,16.46
6.98% National Bank Agr. Rur. Devp 2020,Debenture,AAA,11.20 - 11.94,11.20
7.7% REC 2021,Bonds/NCDs,AAA,10.65 - 11.39,10.65
7.65% SIDBI 2021,Debenture,AAA,9.42 - 10.01,9.42
6.78% Reliance Industries 2020,Non Convertible Debenture,AAA,5.70 - 6.06,5.70
8.39% Punjab State 2021,State Development Loan,SOV,5.46 - 5.88,5.46
7.73% HUDCO 2021,Debenture,AAA,4.58 - 4.85,4.58
7.62% Odisha State,State Development Loan,SOV,2.72 - 2.90,2.72
SIDBI 2020,Debenture,A1+,0.00 - 2.43,2.43
7.5% Power Finance Corp. 2020,Bonds,AAA,0.00 - 1.57,1.55
ICICI Bank 2020,Certificate of Deposit,A1+,0.00 - 0.79,0.79
8.36% Power Finance Corp. 2020,Bonds,AAA,0.54 - 0.58,0.54
8.2% Power Finance Corp. 2020,Bonds/NCDs,AAA,0.00 - 0.27,0.27
82. Aditya Birla Sun Life Fixed Term Plan - Series PU (1463 Days) - Direct Plan
8.21% Rajasthan State 2022,State Development Loan,SOV,35.92 - 38.71,35.92
LIC Housing Fin. 2022,Debenture,AAA,0.00 - 11.76,11.76
Bajaj Finance 2022,Zero Coupon Bonds,AAA,0.00 - 11.56,11.56
8.21% Haryana State 2022,State Development Loan,SOV,9.36 - 10.10,9.36
8.25% Tata Sons 2022,Debenture,AAA,9.07 - 9.78,9.07
7.35% BPCL 2022,Bonds,AAA,8.47 - 9.02,8.47
7.87% Larsen & Toubro 2022,Non Convertible Debenture,AAA,0.00 - 2.69,2.61
9.3533% HDB Financial Services 2022,Non Convertible Debenture,AAA,1.95 - 2.11,1.95
9.13% Gujarat State 2022,State Development Loan,SOV,1.92 - 2.07,1.92
9.3% Export-Import Bank 2022,Bonds,AAA,1.92 - 2.06,1.92
8.55% Power Finance Corp. 2021,Bonds,AAA,0.82 - 0.88,0.82
7.47% Power Finance Corp. 2021,Bonds,AAA,0.55 - 10.95,0.55
8.595% LIC Housing Fin. 2022,Debenture,AAA,0.00 - 0.23,0.22
9% Export-Import Bank 2022,Bonds,AAA,0.19 - 0.20,0.19
8.58% HDFC 2022,Debenture,AAA,0.00 - 0.19,0.19
8.4% HUDCO 2022,Non Convertible Debenture,AAA,0.00 - 0.08,0.07
83. Aditya Birla Sun Life Fixed Term Plan - Series PU (1463 Days) - Regular Plan
8.21% Rajasthan State 2022,State Development Loan,SOV,35.92 - 38.71,35.92
LIC Housing Fin. 2022,Debenture,AAA,0.00 - 11.76,11.76
Bajaj Finance 2022,Zero Coupon Bonds,AAA,0.00 - 11.56,11.56
8.21% Haryana State 2022,State Development Loan,SOV,9.36 - 10.10,9.36
8.25% Tata Sons 2022,Debenture,AAA,9.07 - 9.78,9.07
7.35% BPCL 2022,Bonds,AAA,8.47 - 9.02,8.47
7.87% Larsen & Toubro 2022,Non Convertible Debenture,AAA,0.00 - 2.69,2.61
9.3533% HDB Financial Services 2022,Non Convertible Debenture,AAA,1.95 - 2.11,1.95
9.13% Gujarat State 2022,State Development Loan,SOV,1.92 - 2.07,1.92
9.3% Export-Import Bank 2022,Bonds,AAA,1.92 - 2.06,1.92
8.55% Power Finance Corp. 2021,Bonds,AAA,0.82 - 0.88,0.82
7.47% Power Finance Corp. 2021,Bonds,AAA,0.55 - 10.95,0.55
8.595% LIC Housing Fin. 2022,Debenture,AAA,0.00 - 0.23,0.22
9% Export-Import Bank 2022,Bonds,AAA,0.19 - 0.20,0.19
8.58% HDFC 2022,Debenture,AAA,0.00 - 0.19,0.19
8.4% HUDCO 2022,Non Convertible Debenture,AAA,0.00 - 0.08,0.07
84. Aditya Birla Sun Life Fixed Term Plan - Series PV (1462 Days) - Direct Plan
8.68% Uttar Pradesh State 2022,State Development Loan,SOV,18.73 - 20.22,18.73
8.21% Haryana State 2022,State Development Loan,SOV,15.92 - 17.15,15.92
Bajaj Finance 2022,Zero Coupon Bonds,AAA,0.00 - 11.61,11.61
LIC Housing Fin. 2022,Debenture,AAA,0.00 - 11.50,11.49
8.21% Rajasthan State 2022,State Development Loan,SOV,9.35 - 10.06,9.35
8.25% Tata Sons 2022,Debenture,AAA,7.71 - 8.31,7.71
8.44% REC 2021,Bonds,AAA,0.00 - 8.09,7.51
7.87% Larsen & Toubro 2022,Non Convertible Debenture,AAA,0.00 - 3.81,3.70
8.27% REC 2022,Debenture,AAA,2.62 - 2.82,2.62
9.3533% HDB Financial Services 2022,Non Convertible Debenture,AAA,2.40 - 2.58,2.40
8.36% Ultratech Cement 2021,Debenture,AAA,2.31 - 3.98,2.31
7.35% BPCL 2022,Bonds,AAA,1.04 - 1.11,1.04
8.55% Power Finance Corp. 2021,Bonds,AAA,0.95 - 1.02,0.95
8.58% HDFC 2022,Debenture,AAA,0.00 - 0.87,0.84
8.4% HUDCO 2022,Non Convertible Debenture,AAA,0.00 - 0.11,0.11
85. Aditya Birla Sun Life Fixed Term Plan - Series PV (1462 Days) - Regular Plan
8.68% Uttar Pradesh State 2022,State Development Loan,SOV,18.73 - 20.22,18.73
8.21% Haryana State 2022,State Development Loan,SOV,15.92 - 17.15,15.92
Bajaj Finance 2022,Zero Coupon Bonds,AAA,0.00 - 11.61,11.61
LIC Housing Fin. 2022,Debenture,AAA,0.00 - 11.50,11.49
8.21% Rajasthan State 2022,State Development Loan,SOV,9.35 - 10.06,9.35
8.25% Tata Sons 2022,Debenture,AAA,7.71 - 8.31,7.71
8.44% REC 2021,Bonds,AAA,0.00 - 8.09,7.51
7.87% Larsen & Toubro 2022,Non Convertible Debenture,AAA,0.00 - 3.81,3.70
8.27% REC 2022,Debenture,AAA,2.62 - 2.82,2.62
9.3533% HDB Financial Services 2022,Non Convertible Debenture,AAA,2.40 - 2.58,2.40
8.36% Ultratech Cement 2021,Debenture,AAA,2.31 - 3.98,2.31
7.35% BPCL 2022,Bonds,AAA,1.04 - 1.11,1.04
8.55% Power Finance Corp. 2021,Bonds,AAA,0.95 - 1.02,0.95
8.58% HDFC 2022,Debenture,AAA,0.00 - 0.87,0.84
8.4% HUDCO 2022,Non Convertible Debenture,AAA,0.00 - 0.11,0.11
86. Aditya Birla Sun Life Fixed Term Plan - Series PW (1100 Days) - Direct Plan
8.67% Andhra Pradesh State 2021,State Development Loan,SOV,38.46 - 41.30,38.46
6.98% National Bank Agr. Rur. Devp 2020,Debenture,AAA,11.12 - 11.87,11.12
7.5% Power Finance Corp. 2020,Bonds,AAA,10.39 - 10.95,10.73
6.99% REC 2020,Debenture,AAA,10.16 - 10.82,10.16
8.5% HDFC 2020,Debenture,AAA,8.59 - 9.21,8.59
7.62% Odisha State,State Development Loan,SOV,8.21 - 8.77,8.21
SIDBI 2020,Debenture,A1+,0.00 - 3.63,3.63
8.1437% Sundaram Finance 2021,Debenture,AAA,1.89 - 1.99,1.89
7.65% IRFC 2021,Debenture,AAA,0.00 - 1.72,1.63
8.36% Power Finance Corp. 2020,Bonds,AAA,0.86 - 0.93,0.86
7.65% SIDBI 2021,Debenture,AAA,0.43 - 0.46,0.43
ICICI Bank 2020,Certificate of Deposit,A1+,0.00 - 0.12,0.12
87. Aditya Birla Sun Life Fixed Term Plan - Series PW (1100 Days) - Regular Plan
8.67% Andhra Pradesh State 2021,State Development Loan,SOV,38.46 - 41.30,38.46
6.98% National Bank Agr. Rur. Devp 2020,Debenture,AAA,11.12 - 11.87,11.12
7.5% Power Finance Corp. 2020,Bonds,AAA,10.39 - 10.95,10.73
6.99% REC 2020,Debenture,AAA,10.16 - 10.82,10.16
8.5% HDFC 2020,Debenture,AAA,8.59 - 9.21,8.59
7.62% Odisha State,State Development Loan,SOV,8.21 - 8.77,8.21
SIDBI 2020,Debenture,A1+,0.00 - 3.63,3.63
8.1437% Sundaram Finance 2021,Debenture,AAA,1.89 - 1.99,1.89
7.65% IRFC 2021,Debenture,AAA,0.00 - 1.72,1.63
8.36% Power Finance Corp. 2020,Bonds,AAA,0.86 - 0.93,0.86
7.65% SIDBI 2021,Debenture,AAA,0.43 - 0.46,0.43
ICICI Bank 2020,Certificate of Deposit,A1+,0.00 - 0.12,0.12
88. Aditya Birla Sun Life Fixed Term Plan - Series PY (1409 Days) - Direct Plan
8.39% Rajasthan State 2026,State Development Loan,SOV,61.54 - 66.16,61.54
Bajaj Finance 2022,Zero Coupon Bonds,AAA,0.00 - 10.92,10.92
1.5% HDFC 2020,Debenture,AAA,9.67 - 10.75,9.67
Bajaj Housing Finance 2022,Debenture,AAA,0.00 - 4.83,4.83
8.55% Power Finance Corp. 2021,Bonds,AAA,2.43 - 2.62,2.43
8.58% HDFC 2022,Debenture,AAA,0.00 - 1.51,1.48
8.6% National Bank Agr. Rur. Devp 2022,Debenture,AAA,0.00 - 1.31,1.29
8.44% REC 2021,Bonds,AAA,0.00 - 1.30,1.21
8.3% Reliance Industries 2022,Debenture,AAA,0.00 - 1.12,1.09
LIC Housing Fin. 2022,Debenture,AAA,0.00 - 1.05,1.05
7.65% IRFC 2021,Debenture,AAA,0.00 - 0.67,0.63
89. Aditya Birla Sun Life Fixed Term Plan - Series PY (1409 Days) - Regular Plan
8.39% Rajasthan State 2026,State Development Loan,SOV,61.54 - 66.16,61.54
Bajaj Finance 2022,Zero Coupon Bonds,AAA,0.00 - 10.92,10.92
1.5% HDFC 2020,Debenture,AAA,9.67 - 10.75,9.67
Bajaj Housing Finance 2022,Debenture,AAA,0.00 - 4.83,4.83
8.55% Power Finance Corp. 2021,Bonds,AAA,2.43 - 2.62,2.43
8.58% HDFC 2022,Debenture,AAA,0.00 - 1.51,1.48
8.6% National Bank Agr. Rur. Devp 2022,Debenture,AAA,0.00 - 1.31,1.29
8.44% REC 2021,Bonds,AAA,0.00 - 1.30,1.21
8.3% Reliance Industries 2022,Debenture,AAA,0.00 - 1.12,1.09
LIC Housing Fin. 2022,Debenture,AAA,0.00 - 1.05,1.05
7.65% IRFC 2021,Debenture,AAA,0.00 - 0.67,0.63
90. Aditya Birla Sun Life Fixed Term Plan - Series PZ (1120 Days) - Direct Plan
8.15% Rajasthan State 2021,State Development Loan,SOV,26.07 - 27.94,26.07
Sundaram Finance 2021,Debenture,AAA,11.71 - 11.95,11.95
7.7% HUDCO 2020,Debenture,AAA,10.74 - 11.58,10.74
1.5% HDFC 2020,Debenture,AAA,10.35 - 11.40,10.35
8.36% Power Finance Corp. 2020,Bonds,AAA,6.35 - 6.86,6.35
7.9% Tata Sons 2020,Debenture,AAA,6.31 - 6.79,6.31
7.7% REC 2021,Bonds/NCDs,AAA,6.31 - 6.75,6.31
7.65% SIDBI 2021,Debenture,AAA,3.80 - 4.05,3.80
8.8% REC 2020,Bonds,AAA,3.19 - 3.46,3.19
7.73% Power Finance Corp. 2021,Debenture,AAA,3.16 - 3.37,3.16
SIDBI 2020,Debenture,A1+,0.00 - 2.84,2.83
8.36% Ultratech Cement 2021,Debenture,AAA,1.98 - 2.12,1.98
8.15% REC 2021,Bonds/Debentures,AAA,0.00 - 1.69,1.65
7.65% IRFC 2021,Debenture,AAA,0.00 - 1.34,1.27
6.98% National Bank Agr. Rur. Devp 2020,Debenture,AAA,0.57 - 0.60,0.57
ICICI Bank 2020,Certificate of Deposit,A1+,0.00 - 0.33,0.33
91. Aditya Birla Sun Life Fixed Term Plan - Series PZ (1120 Days) - Regular Plan
8.15% Rajasthan State 2021,State Development Loan,SOV,26.07 - 27.94,26.07
Sundaram Finance 2021,Debenture,AAA,11.71 - 11.95,11.95
7.7% HUDCO 2020,Debenture,AAA,10.74 - 11.58,10.74
1.5% HDFC 2020,Debenture,AAA,10.35 - 11.40,10.35
8.36% Power Finance Corp. 2020,Bonds,AAA,6.35 - 6.86,6.35
7.9% Tata Sons 2020,Debenture,AAA,6.31 - 6.79,6.31
7.7% REC 2021,Bonds/NCDs,AAA,6.31 - 6.75,6.31
7.65% SIDBI 2021,Debenture,AAA,3.80 - 4.05,3.80
8.8% REC 2020,Bonds,AAA,3.19 - 3.46,3.19
7.73% Power Finance Corp. 2021,Debenture,AAA,3.16 - 3.37,3.16
SIDBI 2020,Debenture,A1+,0.00 - 2.84,2.83
8.36% Ultratech Cement 2021,Debenture,AAA,1.98 - 2.12,1.98
8.15% REC 2021,Bonds/Debentures,AAA,0.00 - 1.69,1.65
7.65% IRFC 2021,Debenture,AAA,0.00 - 1.34,1.27
6.98% National Bank Agr. Rur. Devp 2020,Debenture,AAA,0.57 - 0.60,0.57
ICICI Bank 2020,Certificate of Deposit,A1+,0.00 - 0.33,0.33
92. Aditya Birla Sun Life Fixed Term Plan - Series QB (1113 Days) - Direct Plan
8.15% Rajasthan State 2021,State Development Loan,SOV,25.87 - 27.78,25.87
Sundaram Finance 2021,Debenture,AAA,11.63 - 11.85,11.85
6.98% National Bank Agr. Rur. Devp 2020,Debenture,AAA,10.66 - 11.40,10.66
7.73% REC 2021,Debenture,AAA,10.32 - 11.05,10.32
