Company,Instrument,Credit Rating,1Y Range,% Assets
Bajaj Finance 2022,Zero Coupon Bonds,AAA,11.57 - 11.71,11.71
LIC Housing Fin. 2022,Debenture,AAA,11.62 - 11.71,11.70
HDB Financial Services 2022,Debenture,AAA,11.57 - 11.67,11.67
7.27% Power Finance Corp. 2021,Debenture,AAA,10.91 - 11.47,10.91
8.81% SIDBI 2022,Debenture,AAA,10.88 - 11.60,10.88
8.46% HUDCO 2022,Non Convertible Debenture,AAA,10.78 - 11.46,10.78
8.83% REC 2022,Non Convertible Debenture,AAA,10.77 - 11.50,10.77
8.6% National Bank Agr. Rur. Devp 2022,Debenture,AAA,6.11 - 11.50,6.11
Bajaj Housing Finance 2022,Debenture,AAA,0.00 - 5.17,5.17
7.65% IRFC 2021,Debenture,AAA,5.07 - 5.40,5.07
7.87% Larsen & Toubro 2022,Non Convertible Debenture,AAA,0.00 - 1.43,1.39
83. Aditya Birla Sun Life Fixed Term Plan - Series RV (1224 Days) - Regular Plan
Bajaj Finance 2022,Zero Coupon Bonds,AAA,11.66 - 11.81,11.81
LIC Housing Fin. 2022,Debenture,AAA,11.72 - 11.81,11.81
HDB Financial Services 2022,Debenture,AAA,11.66 - 11.77,11.77
8.6% National Bank Agr. Rur. Devp 2022,Debenture,AAA,11.22 - 11.93,11.22
8.46% HUDCO 2022,Non Convertible Debenture,AAA,11.19 - 11.89,11.19
8.83% REC 2022,Non Convertible Debenture,AAA,11.18 - 11.93,11.18
8.81% SIDBI 2022,Debenture,AAA,10.98 - 11.69,10.98
7.27% Power Finance Corp. 2021,Debenture,AAA,7.84 - 8.23,7.84
7.65% IRFC 2021,Debenture,AAA,6.73 - 7.16,6.73
7.87% Larsen & Toubro 2022,Non Convertible Debenture,AAA,0.00 - 1.58,1.53
84. Aditya Birla Sun Life Fixed Term Plan - Series RW (1202 Days) - Regular Plan
LIC Housing Fin. 2022,Debenture,AAA,11.46 - 11.55,11.55
HDB Financial Services 2022,Debenture,AAA,11.41 - 11.52,11.52
M&M Financial Services 2022,Debenture,AAA,11.38 - 11.49,11.43
8.4% HUDCO 2022,Non Convertible Debenture,AAA,11.03 - 11.71,11.03
8.35% REC 2022,Debenture,AAA,0.00 - 11.39,10.93
7.47% Power Finance Corp. 2021,Bonds,AAA,10.75 - 11.32,10.75
8.81% SIDBI 2022,Debenture,AAA,10.74 - 11.44,10.74
8.6% National Bank Agr. Rur. Devp 2022,Debenture,AAA,7.51 - 11.77,7.51
Bajaj Housing Finance 2022,Debenture,AAA,0.00 - 4.78,4.78
8.4% Power Grid Corporation 2021,Bonds,AAA,0.00 - 4.17,3.94
8.3% Reliance Industries 2022,Debenture,AAA,0.00 - 2.01,1.96
85. Aditya Birla Sun Life Fixed Term Plan - Series RX (1200 Days) - Regular Plan
M&M Financial Services 2022,Debenture,AAA,11.63 - 11.78,11.78
8.35% REC 2022,Debenture,AAA,0.00 - 11.65,11.24
7.5% Tata Motors 2021,Debenture,AA-,0.00 - 11.10,11.02
Sundaram Bnp Paribas Home Finance 2022,Debenture,AA+,9.94 - 10.07,10.07
7.85% Bhopal Dhule Transmission 2022,Debenture,AAA,9.36 - 9.95,9.36
10.15% Uttar Pradesh Power Corporation 2022,Debenture,A+,9.12 - 9.86,9.12
9.05% Essel Lucknow Raebareli Toll Roads 2022,Debenture,AAA,9.11 - 9.75,9.11
10.1% L&T Vadodara Bharuch Tollway 2021,Debenture,A,9.07 - 9.59,9.07
9.4756% Tata Capital Financial Services 2022,Non Convertible Debenture,AAA,7.61 - 7.96,7.61
Bajaj Housing Finance 2022,Debenture,AAA,0.00 - 6.25,6.25
7.07% Reliance Industries 2020,Bonds/Debentures,AAA,0.00 - 3.84,0.73
SIDBI 2020,Debenture,A1+,0.00 - 0.70,0.70
86. Aditya Birla Sun Life Fixed Term Plan - Series RY (1199 Days) - Regular Plan
LIC Housing Fin. 2022,Debenture,AAA,11.37 - 11.47,11.46
HDB Financial Services 2022,Debenture,AAA,11.32 - 11.43,11.43
M&M Financial Services 2022,Debenture,AAA,11.30 - 11.40,11.34
7.47% Power Finance Corp. 2021,Bonds,AAA,11.18 - 11.68,11.18
8.4% HUDCO 2022,Non Convertible Debenture,AAA,11.02 - 11.62,11.02
8.35% REC 2022,Debenture,AAA,0.00 - 11.37,10.92
8.81% SIDBI 2022,Debenture,AAA,10.66 - 11.29,10.66
Bajaj Housing Finance 2022,Debenture,AAA,0.00 - 5.57,5.57
8.4% Power Grid Corporation 2021,Bonds,AAA,5.51 - 5.83,5.51
8.6% National Bank Agr. Rur. Devp 2022,Debenture,AAA,5.06 - 11.69,5.06
8.3% Reliance Industries 2022,Debenture,AAA,0.00 - 1.87,1.82
87. Aditya Birla Sun Life Fixed Term Plan - Series SA (1180 Days) - Regular Plan
HDB Financial Services 2022,Debenture,AAA,11.81 - 14.25,11.93
Bajaj Finance 2022,Zero Coupon Bonds,AAA,11.37 - 14.22,11.53
8.4% HUDCO 2022,Non Convertible Debenture,AAA,11.22 - 14.19,11.22
8.81% SIDBI 2022,Debenture,AAA,11.13 - 14.16,11.13
7.07% Reliance Industries 2020,Bonds/Debentures,AAA,0.00 - 10.43,9.91
8.35% REC 2022,Debenture,AAA,0.00 - 10.33,9.91
Bajaj Housing Finance 2022,Debenture,AAA,0.00 - 8.10,8.10
8.4% Power Grid Corporation 2021,Bonds,AAA,6.53 - 6.90,6.53
7.94% GOI 2021,Central Government Loan,SOV,5.53 - 5.89,5.53
8.6% National Bank Agr. Rur. Devp 2022,Debenture,AAA,5.12 - 14.27,5.12
LIC Housing Fin. 2022,Debenture,AAA,3.08 - 3.10,3.10
Sundaram Finance 2022,Zero Coupon Bonds,AAA,1.47 - 1.49,1.49
8.3% Reliance Industries 2022,Debenture,AAA,0.00 - 0.83,0.81
88. Aditya Birla Sun Life Fixed Term Plan - Series SF (1161 Days) - Regular Plan
Sundaram Finance 2022,Zero Coupon Bonds,AAA,11.82 - 11.97,11.97
8.3% Reliance Industries 2022,Debenture,AAA,0.00 - 11.91,11.59
8.685% LIC Housing Fin. 2022,Zero Coupon Bonds,AAA,11.42 - 11.90,11.42
7.17% Nat. Highways Authority 2021,Non Convertible Debenture,AAA,11.41 - 11.92,11.41
8.46% HUDCO 2022,Non Convertible Debenture,AAA,11.19 - 11.76,11.19
8.83% REC 2022,Non Convertible Debenture,AAA,11.19 - 11.77,11.19
8.58% HDFC 2022,Debenture,AAA,0.00 - 10.45,10.20
8.6% National Bank Agr. Rur. Devp 2022,Debenture,AAA,8.12 - 8.54,8.12
8.81% SIDBI 2022,Debenture,AAA,4.09 - 4.30,4.09
Bajaj Housing Finance 2022,Debenture,AAA,2.59 - 2.63,2.63
8.595% LIC Housing Fin. 2022,Debenture,AAA,0.00 - 0.24,0.24
89. Aditya Birla Sun Life Fixed Term Plan - Series SG (1155 Days) - Regular Plan
8.6% National Bank Agr. Rur. Devp 2022,Debenture,AAA,11.39 - 11.98,11.39
8.81% SIDBI 2022,Debenture,AAA,11.37 - 11.98,11.37
8.23% HUDCO 2022,Non Convertible Debenture,AAA,11.22 - 11.76,11.22
HDB Financial Services 2022,Debenture,AAA,11.05 - 11.16,11.16
Bajaj Finance 2022,Zero Coupon Bonds,AAA,9.92 - 10.05,10.05
7.87% Larsen & Toubro 2022,Non Convertible Debenture,AAA,0.00 - 9.90,9.68
7.17% Nat. Highways Authority 2021,Non Convertible Debenture,AAA,9.42 - 9.85,9.42
LIC Housing Fin. 2022,Debenture,AAA,7.23 - 7.28,7.28
7.07% Reliance Industries 2020,Bonds/Debentures,AAA,4.66 - 11.76,4.66
8.685% LIC Housing Fin. 2022,Zero Coupon Bonds,AAA,4.55 - 4.74,4.55
6.93% Ultratech Cement 2021,Debenture,AAA,0.00 - 1.93,1.85
8.58% HDFC 2022,Debenture,AAA,0.00 - 1.86,1.81
7.24% IRFC 2021,Bonds,AAA,0.00 - 1.33,1.31
SIDBI 2020,Debenture,A1+,0.00 - 0.44,0.44
8.595% LIC Housing Fin. 2022,Debenture,AAA,0.00 - 0.10,0.10
90. Aditya Birla Sun Life Fixed Term Plan - Series SI (1141 Days) - Regular Plan
LIC Housing Fin. 2022,Debenture,AAA,11.96 - 12.04,12.03
8.6% National Bank Agr. Rur. Devp 2022,Debenture,AAA,11.40 - 11.92,11.40
8.81% SIDBI 2022,Debenture,AAA,11.38 - 11.91,11.38
8.46% HUDCO 2022,Non Convertible Debenture,AAA,11.37 - 11.88,11.37
8.3% Reliance Industries 2022,Debenture,AAA,11.29 - 11.75,11.29
8.35% REC 2022,Debenture,AAA,11.26 - 11.75,11.26
Bajaj Finance 2022,Zero Coupon Bonds,AAA,9.77 - 9.88,9.88
Bajaj Housing Finance 2022,Debenture,AAA,9.73 - 9.82,9.82
8.75% Kerala State 2022,State Development Loan,SOV,4.83 - 5.02,4.83
7.87% Larsen & Toubro 2022,Non Convertible Debenture,AAA,0.00 - 3.27,3.17
91. Aditya Birla Sun Life Fixed Term Plan - Series SJ (1135 Days) - Regular Plan
8.3% Reliance Industries 2022,Debenture,AAA,11.46 - 11.92,11.46
8.81% SIDBI 2022,Debenture,AAA,11.33 - 11.84,11.33
8.6% National Bank Agr. Rur. Devp 2022,Debenture,AAA,11.25 - 11.75,11.25
8.23% HUDCO 2022,Non Convertible Debenture,AAA,11.17 - 11.66,11.17
Bajaj Finance 2022,Zero Coupon Bonds,AAA,10.94 - 11.07,11.07
8.45% REC 2022,Debenture,AAA,9.59 - 10.00,9.59
8.18% Power Finance Corp. 2022,Debenture,AAA,0.00 - 8.00,7.93
HDB Financial Services 2022,Debenture,AAA,5.17 - 5.21,5.21
8.58% HDFC 2022,Debenture,AAA,4.15 - 11.95,4.15
6.93% Ultratech Cement 2021,Debenture,AAA,3.84 - 4.00,3.84
8.97% Andhra Pradesh State 2022,State Development Loan,SOV,3.28 - 3.41,3.28
Bajaj Housing Finance 2022,Debenture,AAA,3.16 - 5.00,3.18
8.75% Kerala State 2022,State Development Loan,SOV,1.63 - 1.70,1.63
8.595% LIC Housing Fin. 2022,Debenture,AAA,0.00 - 0.74,0.73
7.87% Larsen & Toubro 2022,Non Convertible Debenture,AAA,0.00 - 0.03,0.03
92. Aditya Birla Sun Life Fixed Term Plan - Series SK (1128 Days) - Regular Plan
Bajaj Finance 2022,Zero Coupon Bonds,AAA,11.87 - 12.01,12.01
8.6% National Bank Agr. Rur. Devp 2022,Debenture,AAA,11.41 - 11.91,11.41
8.46% HUDCO 2022,Non Convertible Debenture,AAA,11.38 - 11.88,11.38
8.58% HDFC 2022,Debenture,AAA,11.33 - 11.75,11.33
8.595% LIC Housing Fin. 2022,Debenture,AAA,11.31 - 11.73,11.31
8.3% Reliance Industries 2022,Debenture,AAA,11.30 - 11.75,11.30
6.93% Ultratech Cement 2021,Debenture,AAA,11.00 - 11.45,11.00
7.87% Larsen & Toubro 2022,Non Convertible Debenture,AAA,0.00 - 8.65,8.41
8.81% SIDBI 2022,Debenture,AAA,7.02 - 7.33,7.02
93. Aditya Birla Sun Life Fixed Term Plan - Series SL (1120 Days) - Regular Plan
Bajaj Finance 2022,Zero Coupon Bonds,AAA,11.69 - 11.83,11.83
SIDBI 2021,Debenture,AAA,10.60 - 11.05,10.60
8.595% LIC Housing Fin. 2022,Debenture,AAA,10.15 - 10.53,10.15
8.18% Power Finance Corp. 2022,Debenture,AAA,10.10 - 10.47,10.10
7.6% Nat. Highways Authority 2022,Bonds,AAA,10.07 - 10.48,10.07
M&M Financial Services 2022,Debenture,AAA,9.05 - 9.11,9.06
8.45% REC 2022,Debenture,AAA,8.01 - 8.35,8.01
8.6% National Bank Agr. Rur. Devp 2022,Debenture,AAA,7.91 - 8.27,7.91
8.46% HUDCO 2022,Non Convertible Debenture,AAA,7.55 - 7.89,7.55
8.4% HUDCO 2022,Non Convertible Debenture,AAA,3.40 - 3.55,3.40
8.58% HDFC 2022,Debenture,AAA,3.39 - 3.51,3.39
8.35% REC 2022,Debenture,AAA,2.83 - 2.95,2.83
7.87% Larsen & Toubro 2022,Non Convertible Debenture,AAA,0.00 - 0.83,0.80
8.685% LIC Housing Fin. 2022,Zero Coupon Bonds,AAA,0.48 - 0.49,0.48
94. Aditya Birla Sun Life Fixed Term Plan - Series SN (1099 Days) - Regular Plan
8.58% HDFC 2022,Debenture,AAA,11.58 - 11.88,11.58
8.3% Reliance Industries 2022,Debenture,AAA,11.55 - 11.87,11.55
9.224% Bajaj Finance 2022,Zero Coupon Bonds,AAA,11.52 - 11.79,11.52
8.35% REC 2022,Debenture,AAA,11.52 - 11.81,11.52
7.95% SIDBI 2022,Debenture,AAA,11.17 - 11.46,11.17
7.87% Larsen & Toubro 2022,Non Convertible Debenture,AAA,10.89 - 11.21,10.89
LIC Housing Fin. 2022,Debenture,AAA,10.49 - 10.52,10.52
7.9% National Bank Agr. Rur. Devp 2022,Non Convertible Debenture,AAA,9.59 - 9.83,9.59
8.46% HUDCO 2022,Non Convertible Debenture,AAA,7.75 - 7.97,7.75
95. Aditya Birla Sun Life Fixed Term Plan - Series SO (1099 Days) - Regular Plan
9.224% Bajaj Finance 2022,Zero Coupon Bonds,AAA,11.51 - 11.75,11.51
8.46% HUDCO 2022,Non Convertible Debenture,AAA,11.42 - 11.72,11.42
8.83% REC 2022,Non Convertible Debenture,AAA,11.42 - 11.69,11.42
8.58% HDFC 2022,Debenture,AAA,11.38 - 11.64,11.38
8.595% LIC Housing Fin. 2022,Debenture,AAA,11.36 - 11.63,11.36
7.95% SIDBI 2022,Debenture,AAA,11.36 - 11.61,11.36
7.9% National Bank Agr. Rur. Devp 2022,Non Convertible Debenture,AAA,11.30 - 11.55,11.30
96. Aditya Birla Sun Life Floating Rate Fund
Power Finance Corp. 2019,Bonds,AAA,6.96 - 10.57,6.96
Axis Bank 2019,Certificate of Deposit,A1+,0.00 - 4.24,4.10
8.15% REC 2021,Bonds/Debentures,AAA,0.00 - 3.37,3.25
8.5% National Bank Agr. Rur. Devp,Debenture,AAA,0.00 - 2.89,2.89
SIDBI 2020,Securitised Debt,AAA,0.00 - 4.40,2.76
SIDBI 2020,Debenture,A1+,0.00 - 2.76,2.72
6.99% HUDCO 2022,Debenture,AAA,0.00 - 2.45,2.45
Export-Import Bank 2020,Certificate of Deposit,A1+,0.00 - 2.43,2.39
HDFC 364-D 26/08/2020,Commercial Paper,A1+,0.00 - 2.32,2.32
7.17% Nat. Highways Authority 2021,Non Convertible Debenture,AAA,0.00 - 2.22,2.22
8.39% National Bank Agr. Rur. Devp 19-D 19/07/2021,Debenture,AAA,0.00 - 2.02,1.94
8.5% National Bank Agr. Rur. Devp 2022,Non Convertible Debenture,AAA,0.00 - 1.73,1.65
6.99% SIDBI 2022,Bonds/NCDs,AAA,0.00 - 1.64,1.64
LIC Housing Fin. 344-D 28/05/2020,Commercial Paper,A1+,0.00 - 1.57,1.57
7.37% GOI 2023,GOI Securities,SOV,0.00 - 1.53,1.53
8.5383% Bajaj Finance 2022,Debenture,AAA,0.00 - 1.54,1.51
8.58% HDFC 2022,Debenture,AAA,0.00 - 1.30,1.26
8.35% REC 2022,Debenture,AAA,0.00 - 1.25,1.25
8.02% Larsen & Toubro 2022,Non Convertible Debenture,AAA,0.00 - 1.55,1.25
Fullerton India Credit 362-D 31/12/2019,Commercial Paper,A1+,0.00 - 1.52,1.21
7.5% SIDBI 2021,Debenture,AAA,0.00 - 1.16,1.16
7.2% HDFC 2020,Debenture,AAA,0.00 - 1.19,1.15
7.32% GOI 2024,GOI Securities,SOV,0.00 - 0.93,0.93
8.83% REC 2022,Non Convertible Debenture,AAA,0.00 - 1.38,0.93
6.99% REC 2020,Debenture,AAA,0.00 - 1.21,0.90
97. Aditya Birla Sun Life Floating Rate Fund - Retail Plan
Power Finance Corp. 2019,Bonds,AAA,6.96 - 10.57,6.96
Axis Bank 2019,Certificate of Deposit,A1+,0.00 - 4.24,4.10
8.15% REC 2021,Bonds/Debentures,AAA,0.00 - 3.37,3.25
8.5% National Bank Agr. Rur. Devp,Debenture,AAA,0.00 - 2.89,2.89
SIDBI 2020,Securitised Debt,AAA,0.00 - 4.40,2.76
SIDBI 2020,Debenture,A1+,0.00 - 2.76,2.72
6.99% HUDCO 2022,Debenture,AAA,0.00 - 2.45,2.45
Export-Import Bank 2020,Certificate of Deposit,A1+,0.00 - 2.43,2.39
HDFC 364-D 26/08/2020,Commercial Paper,A1+,0.00 - 2.32,2.32
7.17% Nat. Highways Authority 2021,Non Convertible Debenture,AAA,0.00 - 2.22,2.22
8.39% National Bank Agr. Rur. Devp 19-D 19/07/2021,Debenture,AAA,0.00 - 2.02,1.94
8.5% National Bank Agr. Rur. Devp 2022,Non Convertible Debenture,AAA,0.00 - 1.73,1.65
6.99% SIDBI 2022,Bonds/NCDs,AAA,0.00 - 1.64,1.64
LIC Housing Fin. 344-D 28/05/2020,Commercial Paper,A1+,0.00 - 1.57,1.57
7.37% GOI 2023,GOI Securities,SOV,0.00 - 1.53,1.53
8.5383% Bajaj Finance 2022,Debenture,AAA,0.00 - 1.54,1.51
8.58% HDFC 2022,Debenture,AAA,0.00 - 1.30,1.26
8.35% REC 2022,Debenture,AAA,0.00 - 1.25,1.25
8.02% Larsen & Toubro 2022,Non Convertible Debenture,AAA,0.00 - 1.55,1.25
Fullerton India Credit 362-D 31/12/2019,Commercial Paper,A1+,0.00 - 1.52,1.21
7.5% SIDBI 2021,Debenture,AAA,0.00 - 1.16,1.16
7.2% HDFC 2020,Debenture,AAA,0.00 - 1.19,1.15
7.32% GOI 2024,GOI Securities,SOV,0.00 - 0.93,0.93
8.83% REC 2022,Non Convertible Debenture,AAA,0.00 - 1.38,0.93
6.99% REC 2020,Debenture,AAA,0.00 - 1.21,0.90
98. Aditya Birla Sun Life Government Securities Fund
7.17% GOI 2028,GOI Securities,SOV,20.48 - 90.50,28.14
7.26% GOI 2029,GOI Securities,SOV,0.00 - 40.95,13.61
7.27% GOI 2026,GOI Securities,SOV,0.00 - 11.66,11.66
8.68% Tamilnadu State 2028,State Development Loan,SOV,0.00 - 5.64,4.10
6.79% GOI 2029,GOI Securities,SOV,0.00 - 3.72,3.72
7.57% GOI 2033,GOI Securities,SOV,0.00 - 22.82,3.40
8.52% Karnataka State 2028,State Development Loan,SOV,0.00 - 5.59,2.03
8.35% Jharkhand State 2028,State Development Loan,SOV,0.00 - 6.45,0.17
8.3% GOI 2040,Central Government Loan,SOV,0.00 - 0.00,0.00
99. Aditya Birla Sun Life Income Fund
7.59% GOI 2026,GOI Securities,SOV,0.00 - 9.24,9.24
7.17% GOI 2028,GOI Securities,SOV,0.00 - 35.68,7.97
7.95% GOI 2032,GOI Securities,SOV,0.00 - 9.26,6.69
8.58% HUDCO 2029,Debenture,AAA,0.00 - 5.56,5.56
8.21% Haryana State 2023,State Development Loan,SOV,0.00 - 5.45,5.40
7.27% GOI 2026,GOI Securities,SOV,0.00 - 16.04,4.46
8.24% Power Grid Corporation 2029,Debenture,AAA,0.00 - 4.91,2.75
7.57% GOI 2033,GOI Securities,SOV,0.00 - 10.29,2.73
8.3% IRFC 2029,Debenture,AAA,0.00 - 5.41,2.71
8.27% Nat. Highways Authority 2029,Debenture,AAA,0.00 - 2.68,2.68
8.55% Bank of Baroda 2029,Non Convertible Debenture,AAA,0.00 - 2.70,2.66
7.85% IRFC 2034,Debenture,AAA,0.00 - 2.64,2.64
8.23% IRFC 2029,Debenture,AAA,0.00 - 2.16,2.16
8.85% REC 2029,Non Convertible Debenture,AAA,0.00 - 2.70,2.15
6.79% GOI 2029,GOI Securities,SOV,0.00 - 2.07,2.07
7.54% IRFC 2034,Non Convertible Debenture,AAA,0.00 - 2.56,2.05
8.62% National Bank Agr. Rur. Devp 2034,Debenture,AAA,0.00 - 4.45,1.67
8.56% REC 2028,Debenture,AAA,0.00 - 2.60,1.60
8.24% GOI 2027,Central Government Loan,SOV,0.00 - 1.12,1.12
8.38% HUDCO 2029,Debenture,AAA,0.00 - 0.55,0.55
8.24% National Bank Agr. Rur. Devp 2029,Debenture,AAA,0.00 - 2.69,0.54
7.68% Madhya Pradesh State 2023,State Development Loan,SOV,0.49 - 0.53,0.53
7.34% Power Grid Corporation 2029,Debenture,AAA,0.00 - 0.51,0.51
7.34% Power Grid Corporation 2034,Debenture,AAA,0.00 - 0.51,0.51
7.26% GOI 2029,GOI Securities,SOV,0.00 - 18.17,0.44
100. Aditya Birla Sun Life Liquid Fund
6.5% Canara Bank 2019,Fixed Deposits,-,0.00 - 2.14,2.14
6.3% Union Bank of India 2019,Fixed Deposits,-,0.00 - 2.14,2.14
Syndicate Bank 2019,Certificate of Deposit,A1+,0.00 - 2.13,2.13
National Fertilizers 54-D 30/10/2019,Commercial Paper,A1+,0.00 - 2.13,2.13
Tata Steel Long Products 36-D 31/10/2019,Commercial Paper,A1+,0.00 - 2.13,2.13
Canara Bank 2019,Certificate of Deposit,A1+,0.00 - 1.70,1.70
NTPC 91-D 29/11/2019,Commercial Paper,A1+,0.00 - 1.70,1.70
5.9% Indusind Bank 2019,Fixed Deposits,-,0.00 - 1.61,1.61
5.9% Indusind Bank 2019,Fixed Deposits,-,0.00 - 1.61,1.61
Reliance Jio Infocomm 87-D 08/11/2019,Commercial Paper,A1+,0.00 - 1.60,1.60
National Bank Agr. Rur. Devp 90-D 24/10/2019,Commercial Paper,A1+,0.00 - 1.50,1.50
9.04% REC 2019,Bonds,AAA,0.00 - 1.49,1.49
Reliance Jio Infocomm 91-D 30/10/2019,Commercial Paper,A1+,0.00 - 1.28,1.28
Indusind Bank 2019,Certificate of Deposit,A1+,0.00 - 1.28,1.28
Nabha Power 21-D 11/10/2019,Commercial Paper,A1+,0.00 - 1.23,1.23
5.9% Indusind Bank 2019,Fixed Deposits,-,0.00 - 1.07,1.07
HDFC 90-D 07/10/2019,Commercial Paper,A1+,0.00 - 1.07,1.07
Cholamandalam Invest. & Fin. 91-D 01/11/2019,Commercial Paper,A1+,0.00 - 1.07,1.07
Hero FinCorp 65-D 08/11/2019,Commercial Paper,A1+,0.00 - 1.07,1.07
Reliance Industries 86-D 15/11/2019,Commercial Paper,A1+,0.00 - 1.06,1.06
SAIL 91-D 18/11/2019,Commercial Paper,A1+,0.00 - 1.06,1.06
Syndicate Bank 2019,Certificate of Deposit,A1+,0.00 - 1.06,1.06
Tata Power 60-D 22/11/2019,Commercial Paper,A1+,0.00 - 1.06,1.06
Bharti Enterprises Holdings 90-D 27/11/2019,Commercial Paper,A1+,0.00 - 1.06,1.06
Axis Bank 2019,Certificate of Deposit,A1+,0.00 - 1.06,1.06
101. Aditya Birla Sun Life Liquid Fund - Institutional Plan
6.5% Canara Bank 2019,Fixed Deposits,-,0.00 - 2.14,2.14
6.3% Union Bank of India 2019,Fixed Deposits,-,0.00 - 2.14,2.14
Syndicate Bank 2019,Certificate of Deposit,A1+,0.00 - 2.13,2.13
National Fertilizers 54-D 30/10/2019,Commercial Paper,A1+,0.00 - 2.13,2.13
Tata Steel Long Products 36-D 31/10/2019,Commercial Paper,A1+,0.00 - 2.13,2.13
Canara Bank 2019,Certificate of Deposit,A1+,0.00 - 1.70,1.70
NTPC 91-D 29/11/2019,Commercial Paper,A1+,0.00 - 1.70,1.70
5.9% Indusind Bank 2019,Fixed Deposits,-,0.00 - 1.61,1.61
5.9% Indusind Bank 2019,Fixed Deposits,-,0.00 - 1.61,1.61
Reliance Jio Infocomm 87-D 08/11/2019,Commercial Paper,A1+,0.00 - 1.60,1.60
National Bank Agr. Rur. Devp 90-D 24/10/2019,Commercial Paper,A1+,0.00 - 1.50,1.50
9.04% REC 2019,Bonds,AAA,0.00 - 1.49,1.49
Reliance Jio Infocomm 91-D 30/10/2019,Commercial Paper,A1+,0.00 - 1.28,1.28
Indusind Bank 2019,Certificate of Deposit,A1+,0.00 - 1.28,1.28
Nabha Power 21-D 11/10/2019,Commercial Paper,A1+,0.00 - 1.23,1.23
5.9% Indusind Bank 2019,Fixed Deposits,-,0.00 - 1.07,1.07
HDFC 90-D 07/10/2019,Commercial Paper,A1+,0.00 - 1.07,1.07
Cholamandalam Invest. & Fin. 91-D 01/11/2019,Commercial Paper,A1+,0.00 - 1.07,1.07
Hero FinCorp 65-D 08/11/2019,Commercial Paper,A1+,0.00 - 1.07,1.07
Reliance Industries 86-D 15/11/2019,Commercial Paper,A1+,0.00 - 1.06,1.06
SAIL 91-D 18/11/2019,Commercial Paper,A1+,0.00 - 1.06,1.06
Syndicate Bank 2019,Certificate of Deposit,A1+,0.00 - 1.06,1.06
Tata Power 60-D 22/11/2019,Commercial Paper,A1+,0.00 - 1.06,1.06
Bharti Enterprises Holdings 90-D 27/11/2019,Commercial Paper,A1+,0.00 - 1.06,1.06
Axis Bank 2019,Certificate of Deposit,A1+,0.00 - 1.06,1.06
102. Aditya Birla Sun Life Liquid Fund - Retail Plan
6.5% Canara Bank 2019,Fixed Deposits,-,0.00 - 2.14,2.14
6.3% Union Bank of India 2019,Fixed Deposits,-,0.00 - 2.14,2.14
Syndicate Bank 2019,Certificate of Deposit,A1+,0.00 - 2.13,2.13
National Fertilizers 54-D 30/10/2019,Commercial Paper,A1+,0.00 - 2.13,2.13
Tata Steel Long Products 36-D 31/10/2019,Commercial Paper,A1+,0.00 - 2.13,2.13
Canara Bank 2019,Certificate of Deposit,A1+,0.00 - 1.70,1.70
NTPC 91-D 29/11/2019,Commercial Paper,A1+,0.00 - 1.70,1.70
5.9% Indusind Bank 2019,Fixed Deposits,-,0.00 - 1.61,1.61
5.9% Indusind Bank 2019,Fixed Deposits,-,0.00 - 1.61,1.61
Reliance Jio Infocomm 87-D 08/11/2019,Commercial Paper,A1+,0.00 - 1.60,1.60
National Bank Agr. Rur. Devp 90-D 24/10/2019,Commercial Paper,A1+,0.00 - 1.50,1.50
9.04% REC 2019,Bonds,AAA,0.00 - 1.49,1.49
Reliance Jio Infocomm 91-D 30/10/2019,Commercial Paper,A1+,0.00 - 1.28,1.28
Indusind Bank 2019,Certificate of Deposit,A1+,0.00 - 1.28,1.28
Nabha Power 21-D 11/10/2019,Commercial Paper,A1+,0.00 - 1.23,1.23
5.9% Indusind Bank 2019,Fixed Deposits,-,0.00 - 1.07,1.07
HDFC 90-D 07/10/2019,Commercial Paper,A1+,0.00 - 1.07,1.07
Cholamandalam Invest. & Fin. 91-D 01/11/2019,Commercial Paper,A1+,0.00 - 1.07,1.07
Hero FinCorp 65-D 08/11/2019,Commercial Paper,A1+,0.00 - 1.07,1.07
Reliance Industries 86-D 15/11/2019,Commercial Paper,A1+,0.00 - 1.06,1.06
SAIL 91-D 18/11/2019,Commercial Paper,A1+,0.00 - 1.06,1.06
Syndicate Bank 2019,Certificate of Deposit,A1+,0.00 - 1.06,1.06
Tata Power 60-D 22/11/2019,Commercial Paper,A1+,0.00 - 1.06,1.06
Bharti Enterprises Holdings 90-D 27/11/2019,Commercial Paper,A1+,0.00 - 1.06,1.06
Axis Bank 2019,Certificate of Deposit,A1+,0.00 - 1.06,1.06
103. Aditya Birla Sun Life Low Duration Fund
7.68% ONGC Petro Additions 2020,Structured Obligation,AAA,0.00 - 4.12,4.12
Adani Properties 2021,Debenture,AA-,3.60 - 4.24,3.60
8.15% REC 2021,Bonds/Debentures,AAA,0.00 - 4.11,2.94
Indusind Bank 2020,Certificate of Deposit,A1+,0.00 - 2.79,2.59
SIDBI 2020,Certificate of Deposit,A1+,0.00 - 2.56,2.56
Axis Bank 2020,Certificate of Deposit,A1+,0.00 - 2.57,2.50
7.85% National Bank Agr. Rur. Devp 2022,Non Convertible Debenture,AAA,0.00 - 2.39,2.31
6.98% National Bank Agr. Rur. Devp 2020,Debenture,AAA,0.00 - 2.47,2.13
8.2% Power Finance Corp. 2020,Bonds/NCDs,AAA,0.00 - 2.53,2.13
